NUMBER,SENTENCE,ACTUAL_VALUE,PREDICTED_VALUE
383,"Any disputes that raised out of or related to this Agreement, including but not limited to carrying out the provisions of this Agreement, shall be negotiated by both parties through amicable settlement.",3,0
384,"Limitation of Liability.",0,0
385,"No waiver of any term of this Agreement shall be deemed a further or continuing waiver of such term or any other term, and Goodreads' failure to assert any right or provision under this Agreement shall not constitute a waiver of such right or provision.",0,0
386,"You acknowledge that you do not desire and will not receive compensation for your activities as a Course Contributor or for our use of any Course Contributor Materials (as defined below) you submit.",3,3
387,"To protect JetBrains from piracy and unlawful use of JetBrains software or services; for this purpose, mainly (i) IP address and environment data and (ii) data collected by cookies or other tracking technologies (including clear GIFs, pixel tags, and other technologies) will be used.",0,0
388,"The display of links to third party sites does not constitute an endorsement by us of any of the third party content information, sites, or resources provided.",0,0
389,"Please see our website for a description of the current Paid Services.",0,0
390,"Terms of Use This Agreement was last revised on April 28, 2021.",0,0
391,"This section applies to any orders you place using the online services.",0,0
392,"If we do this, we will post a notice that we have made changes to these Terms and Conditions on the Websites for at least 7 days after the changes are posted and will indicate at the bottom of the Terms and Conditions the date these terms were last revised.",0,0
393,"Upon request, we will make a reasonable effort to provide an Account owner with a copy of your lawful, non-infringing Account contents after Account cancellation, termination, or downgrade.",0,0
394,"An account may have a web-based email account with limited storage space for the Member to send or receive emails.",1,1
395,"We also reserve the right to remove the publication if publication intended to spread hate, violence, or other illegal activity.",1,0
396,"2 Privacy Our Privacy Policy (https://www.twitter.com/privacy) describes how we handle the information you provide to us when you use our Services.",0,0
397,"You acknowledge that the use of the service may require third party software that is subject to third party licenses.",3,3
398,"SEE https://help.ea.com/en-us/help/account/electronic-arts-warranty-policy/ FOR MORE INFORMATION ON STATUTORY WARRANTY AND OTHER STATUTORY CONSUMER RIGHTS IN YOUR TERRITORY, AND https://help.ea.com/en-au/help/account/electronic-arts-warranty-policy/ FOR RIGHTS AVAILABLE TO AUSTRALIAN CONSUMERS.",0,0
399,"If you are acting as an individual consumer and if mandatory statutory consumer protection regulations in your country of residence contain provisions that are more beneficial for you, such provisions shall apply irrespective of the choice of Irish law.",0,0
400,"“Contract” the application form, these terms and conditions and our current Price List.",0,0
401,"In order to participate in certain Services, You may be notified that You are required to download software and/or agree to additional terms and conditions[d].",3,1
402,"The customer service staff will review the security status of your account and your usage of relevant products and services, and comprehensively determine whether your account meets the conditions.",0,0
403,". Any changes we may make to these terms and conditions will be posted on this page.",0,1
404,"If a payment is not successfully settled, due to expiration, insufficient funds, or otherwise, and you do not cancel your account, we may suspend your access to the service until we have successfully charged a valid Payment Method.",3,1
405,"Kindle Content is licensed, not sold, to you by the Content Provider.",0,0
406,"GitHub Trademarks and Logos",0,0
407,"We will respond to notices of alleged copyright infringement that comply with the Digital Millennium Copyright Act of 1998 (“DMCA”).",0,0
408,"Enable global access to our services: To operate our global service, we need to store and distribute content and data in our data centers and systems around the world, including outside your country of residence.",0,0
409,"The UN Convention on Contracts for the International Sale of Goods (Vienna, 1980) shall not apply to this Agreement or to any dispute arising out of or relating to this Agreement.",0,0
410,"Company may from time to time offer promotional Coins that you do not pay for, including any Coins we offer you in connection with your download and/or purchase of the WEBTOON App or other products, your use of the Service, or any other promotional activity (""Free Coins"").",1,1
411,"The “Twitter Entities” refers to Twitter, its parents, affiliates, related companies, officers, directors, employees, agents, representatives, partners, and licensors.",0,0
412,"Grab is not responsible for, and makes no warranty in relation to, the quality of the products and/or solutions for which the GrabGifts are redeemed.",0,0
413,"User Agreement",0,0
414,"You should notify us immediately if you become aware of any breach of security or unauthorized use of your account.",3,0
415,"For residents outside the United States, arbitration shall be initiated in the County of San Mateo, State of California, United States of America, and you and EA agree to submit to the personal jurisdiction of that court, in order to compel arbitration, to stay the proceeding pending arbitration, or to confirm, modify, vacate or enter judgment on the award entered by the arbitrator.",3,0
416,"We reserve the right, at our sole discretion, to update, change or replace any part of these Terms of Service by posting updates and changes to our website.",1,0
417,"Each Member represents, warrants and agrees that (a) you have full power and authority to accept the Terms, to grant the license and authorization and to perform the obligations hereunder; (b) your access and use the Sites and Services will be for business purposes only; and (c) for Members who are business entities, the address you provide when registering is the principal place of business of your business entity.",3,0
418,"You are responsible for resolving any disputes with your credit, debit or other card company on your own.",3,3
419,"You hereby acknowledge that you are entitled to delete any of the Uploaded content from your profile gallery, but it shall not cause revoking of the license granted to Reface.",2,2
420,"You can find tools and resources to help you manage your family’s experience on YouTube (including how to enable a child under the age of 13 to use the Service and YouTube Kids) in our Help Center and through Google’s Family Link.",1,0
421,"LINE places top priority on the privacy of its Users.",0,0
422,"Your sole remedy against us for dissatisfaction with Sling is to stop using Sling. ",3,0
423,"ROMEO cannot guarantee that other Users will use the User Content in accordance with these Terms of Use and/or applicable legislation.",0,0
424,"The Service is made available on Canva.com, Canva mobile apps, Canva desktop applications, and in other forms provided or made available by Canva.",0,0
425,"Under the Platinum Plan, you enjoy 30-day intelligent continuous cloud recording; alert clips will be stored in the meShare cloud.",0,0
426,"We do not warrant or endorse and do not assume and will not have any liability or responsibility to you or any other person for any third-party products, services, materials or websites.",2,0
427,"You agree to submit to the personal and exclusive jurisdiction of the courts located within the county of Santa Clara County, California.",3,0
428,"If you as the copyright owner or as its representative believe that your copyrights are infringed by the Content of users stored, published or transmitted on the Website, please notify us by e-mail to info@pexels.com including the following information: · a description of the rights you consider to have been infringed; · a statement of the content you believe infringes your rights, preferably including a URL, and the part of the content you believe infringes the law; · your address, telephone number and email address to contact you; · a statement by you that, to the best of your knowledge and in good faith, you believe that the use in question has not been approved or is not authorized by the rightsholder or its agent.",3,0
429,"To the extent not prohibited by law, you will defend Box against any cost, loss, damage, or other liability arising from any third party demand or claim that any Content or information provided by you, or your use of the Services: (a) infringes a registered patent, trademark, copyright, or other intellectual property right of a third party, or misappropriates a trade secret (to the extent that such misappropriation is not the result of Box's actions); or (b) violates applicable law or these Terms.",3,0
430,"The services included in the Telegram Premium subscription (“Premium Services”) are listed in the Premium Section.",0,0
431,"Content is separate from third party sponsored advertisements that may appear on the Service.",0,1
432,"If you delete your account or if your account is terminated by us due to breach of these Terms, you will lose any accumulated credits.",0,0
433,"You may terminate the Terms at any time by uninstalling the Truecaller applications and ceasing the use of the Services.",1,1
434,"If the information provided by you proves to be false, incomplete or outdated, we reserve the right to terminate this Use Agreement and to prohibit your access to the Services.",1,0
435,"You acknowledge that you have  read and understood and assented to the Privacy Policy posted on Digicel’s website at http://wwwdigicelgroupcom/lc/en/mobilehtml",3,3
436,"“Platform” means the Application, Software and any other platform, portal or website which Grab owns, operates or otherwise makes available to Consumers and/or Partners for the purposes of or in connection with the Service and/or Solutions.",0,0
437,"9GAG does not pre-screen any User Content, but reserves the right to remove, disallow, block or delete any User Content in its sole discretion.",1,0
438,"You agree that it is your responsibility to take all precautions in all actions and interactions with any third party you interact with through the Service and/or advertising or marketing material supplied by third parties through the Service.",3,3
439,"“Kindle Vella Content” means digital content obtained through the Kindle Vella Service.",0,0
440,"The Services may allow you to enroll in Degree, MasterTrack, and University Certificate programs or similar programs offered by our Content Providers on the Coursera platform.",1,1
441,"We reserve all rights in the Service not expressly granted to you in these Terms.",0,0
442,"You are bound by such changes and should therefore visit these Terms and Conditions each time you visit the Website.",3,0
443,"Without limiting the generality of the foregoing, any fraudulent, abusive, or otherwise illegal activity, or that may otherwise affect the enjoyment of the Service by others may be grounds for termination of your access to all or part of the Service at our sole discretion, and you may be referred to appropriate law enforcement agencies.",1,1
444,"Any attempted transfer or assignment in violation hereof shall be null and void.",0,0
445,"If you believe others aren’t following them, please let us know: https://dis.gd/report.",0,0
446,"Functionality' Cookies － These are used to provide products or services or to remember settings to improve your visit. We use Functionality Cookies for such purposes as: a) Remembering settings you've applied, such as layout, text size, language, preferences, and colors.",0,0
447,"THIRD PARTY PRODUCTS",0,0
448,"If you live in the EEA, United Kingdom, Switzerland, Brazil, Hong Kong, Mexico or Russia, (i) this Agreement is between you and EA Swiss Sàrl, a company registered in the Geneva Companies Registry with company registration number: CH-660-2328005-8 and with offices at 8 Place du Molard, 1204 Geneva, Switzerland; (ii) the laws of your country of residence govern this Agreement and your use of EA Services; and (iii) you expressly agree that exclusive jurisdiction for any claim or action arising out of or relating to this Agreement or EA Services shall be the courts of your country of residence.",3,0
449,"To improve user experience and ensure security and conformity of products and services, we may update the software from time to time.",1,1
450,"You hereby grant REFACE a non-exclusive, worldwide, royalty-free, sublicensable, and transferable license to host, store, use in any way, display, reproduce, modify, adapt, edit, publish, and distribute Uploaded and Generated content.",1,0
451,"Complaints",0,0
452,"Non-payment will result in suspension, and a finance charge of 1 percent per month will be accrued until payment in full has been received.",0,0
453,"If Consumer requests to be dropped off before the lapse of the availed hours in the package, Consumer remains liable to pay the full amount for the package.",3,0
454,"More simply put We respect copyrights.",0,0
455,"User must be registered on the Sites to access or use some Services (a registered User is also referred to as a “Member” below).",3,0
456,"ROMEO may disclose your Personal Data and/or User Content to third parties where it believes, in good faith, that it is necessary to comply with a court order, ongoing judicial proceeding, criminal or civil subpoena, or other legal process or request by law enforcement authorities in the Netherlands, or to exercise its legal rights of defense against legal claims.",1,1
457,"Reservation of Rights",0,0
458,"The Service is subject to trade sanctions and laws and regulations that govern the import, export, and use of the Service.",0,0
459,"Any third-party code that may be incorporated into any App is covered by the applicable open source or third party license, if applicable.",0,1
460,"MISCELLANEOUS",0,0
461,"Terms",0,0
462,"You are solely responsible for obtaining, at your own expense, any hardware, software, and third-party services (such as a wireless service plan purchased through a telecommunications service provider) necessary to connect your device(s) to the internet, including any data transfer fees that may be imposed by your chosen service provider and which, if you choose to upload large amounts of data such as image files, may be substantial.",3,3
463,"Internet Connectivity.",0,0
464,"You are responsible for all content you provide and your activities on Sling.",3,3
465,"(Revised – July, 2015) Go to our Privacy Policy.",0,0
466,"Cancelling Subscriptions",0,0
467,"You hereby assign to the Company any and all right, title and interest (including, but not limited to, any patent, copyright, trade secret, trademark, show-how, know-how, moral rights and any and all other intellectual property right) that you may have in and to any and all Feedback.",3,1
468,"The arbitrator will be either a retired judge or an attorney licensed to practice law and will be selected by the parties from the AAA’s roster of arbitrators.",0,0
469,"It is your responsibility to check this page periodically for changes.",3,3
470,"You agree that Goodreads shall not be responsible for any loss or damage of any sort relating to your dealings with such advertisers.",3,3
471,"MOOVIT MAY, AT ITS SOLE DISCRETION AND WITHOUT AN OBLIGATION TO DO SO, CORRECT, MODIFY, AMEND, ENHANCE, IMPROVE AND MAKE ANY OTHER CHANGES TO THE SERVICE AT ANY TIME, OR DISCONTINUE DISPLAYING OR PROVIDING ANY CONTENT OR FEATURES WITHOUT ANY NOTICE TO YOU.",1,1
472,"For additional terms that apply to certain third-party Software, click here.",0,0
473,"We may change the purchase price for Coins at any time, as well as the ways you can use Coins.",1,1
474,"Each Member agrees to indemnify Alibaba.com, our affiliates, directors, employees, agents and representatives and to hold them harmless, from any and all damages, losses, claims and liabilities (including legal costs on a full indemnity basis) which may arise from your submission, posting or display of any User Content, from your access to or use of the Sites or Services, or from your breach of the Terms or any Additional Agreements.",3,1
475,"""Kindle Application"" means software we make available that permits users to shop for, download, browse, or use the Kindle Store or Kindle Content on Supported Device.",0,0
476,"You may not assign these Terms or any of your rights under these Terms without Canva’s consent except to any successor by way of a merger, acquisition, or change of control.",2,2
477,"Confidential Information will not include information that is: (a) or becomes publicly available without breach of this Agreement through no act or inaction on your part (such as when a private Beta Preview becomes a public Beta Preview); (b) known to you before we disclose it to you; (c) independently developed by you without breach of any confidentiality obligation to us or any third party; or (d) disclosed with permission from GitHub.",0,0
478,"Don’t use the services to do harm to Discord.",2,2
479,"This is outside of Telegram’s control.",0,0
480,"This offer was valid for three years (from the date you last obtained delivery of the free software version of the Software).",0,0
481,"Third-Party Services",0,0
482,"None of Coursera, its Content Providers and instructors, its contributors, sponsors, and other business partners, and their employees, contractors, and other agents (the ""Coursera Parties"") shall have any liability to you for any such action.",0,0
483,"You are also responsible for all activities that occur in connection with your Account.",3,0
484,"To the extent your customers are located in the European Region and our obligations under the Platform Regulation applies, you or we may refer any claim, cause of action, or Dispute (including complaints that could not be resolved) to voluntary mediation, by giving written notice to the other via email (you may email us at businesscomplaints@support.whatsapp.com and we may email you at your valid email address).",1,1
485,"Your Content",0,0
486,"Subscriptions:",0,0
487,"This is true even if your phone number is on any “do not call” list.",0,0
488,"User agrees to provide all information and materials as may be reasonably required by Alibaba.com in connection with your transactions conducted on, through or as a result of use of the Sites or Services.",3,1
489,"Grab does not own, sell or resell any goods and does not control the GrabMart Merchants, the Delivery Service Providers or any services provided by them.",0,0
490,"This will be defined by Zoom as Your ‘Sold To’ address.",0,0
491,"If you still choose to make a submission to us, you agree as follows, regardless of any statements made in your submission: · We owe you no compensation; · There is no duty of confidentiality between us and you; · Your submission automatically becomes our property, and we may use or redistribute the contents of that submission in any way for any purpose; · We are free to acquire, develop and sell services and products that may be competitive to those you offer or suggest; and · It is your responsibility to protect your own intellectual property, you should not make a submission to us if you have concerns about intellectual property.",3,3
492,"These Terms of Use shall be governed by and construed in accordance with the laws of the Republic of Singapore.",0,0
493,"When you access or use an EA Service, you agree that you will not: Interfere with or disrupt any EA Service or any server or network used to support or provide an EA Service, including any hacking or cracking into an EA Service.",2,2
494,"If the Contract includes the sale of services and client is outside of Seller’s Country, the United Nations Convention on the Use of Electronic Communications in International Contracts shall apply.",0,0
495,"If the parties are unable to agree on a location, the determination shall be made by AAA.",0,0
496,"We reserve the right to modify at any time and in any way any of the terms of the Terms of Use, Privacy Policy, Cookie Policy or Terms of Use in full, without prior notice.",1,0
497,"For more information, please read our Privacy Policy.",3,3
498,"you agree that you will not Use or distribute unauthorized software programs or tools (such as ""auto"", ""macro"", hack or cheat software), or use exploits, bugs or problems in an EA Service to gain unfair advantage.",2,2
499,"You represent and warrant that (a) you are not located in a country that is subject to a U.S. Government embargo, or that has been designated by the U.S. Government as a “terrorist supporting” country; and (b) you are not listed on any U.S. Government list of prohibited or restricted parties.",2,2
500,"However, you are not allowed to assign, transfer, or subcontract any of your rights and/or obligations under these Terms.",2,0
501,"These Terms govern your access to and use of the Site, Services and Collective Content (defined below), and constitute a binding legal agreement between you and Academia.edu.",0,0
502,"Arbitration rules Either you or we may start arbitration proceedings.",1,1
503,"Submitted Ideas Policy",0,0
504,"Trademarks",0,0
505,"Content includes information, photos and video and audio clips that you and other users contribute, upload, post, transmit or provide us in the course of using our Services, and also includes comments, questions, feedback or other information that you and others transmit to us.",0,0
506,"You agree we will not be liable for any harm caused by that content.",3,0
507,"Cookies can be either first-party or third-party cookies.",0,0
508,"After the 14 days have expired, the paid for services are non-refundable.",0,0
509,"McDonald’s provides the online services “AS-IS” and without any warranties.",0,0
510,"We both agree that all claims can only be litigated in Tokyo, Japan and we each agree to the exclusive jurisdiction of the courts located in Tokyo, Japan.",3,3
511,"You can withdraw your consent to receive Communications by deactivating your account or contact Sanvello at info@sanvello.com.",1,0
512,"Likewise, Pexels is not liable for problems or technical malfunctions in connection with telephone networks or lines, online systems, servers or providers, computer equipment, software or for failures of e-mails or players due to technical problems or data jams on the internet and/or one of the Service, unless these are within the sphere of influence of Pexels.",0,0
513,"Cancellation after 30 days from the date of signing up including free trial period will not be applicable for refund.",0,0
514,"Further links provided by the Websites or resources are not investigated, verified, monitored, or endorsed by IRIS and are used at your own risk.",3,0
515,"If at any time You are not happy with the Services, Your sole remedy is to cease using the Services and follow this termination process.",0,0
516,"Badoo offers you the opportunity to pay for certain services offered on the site. ",1,1
517,"You hereby agree to indemnify Reface, any of its officers, directors, employees and agents and its affiliated and related entities from and against any claims, costs, losses, liabilities, damages, expenses and judgments of any and every kind arising out of, relating to, or incurred in connection with any claim, complaint, audit, inquiry, or other proceeding, that arises or relates to: (a) any actual or alleged breach of your representations, warranties, or obligations set forth in these Terms; (b) your wrongful or improper use of the Services or the information contained herein; (c) any other party’s access or use of the Services with your information.",3,0
518,"Beta Previews",0,0
519,"Linking to Facebook.",0,0
520,"We may provide you with access to third-party tools over which we neither monitor nor have any control nor input.",1,1
521," Prospective buyers are advised to read and understand the terms and conditions of the sale and to inspect the vehicles listed and conduct and rely on their own searches, enquiries, investigations and verifications on the accuracy and correctness of the particulars and information provided on the Website prior to purchasing.",3,0
522,"ACCOUNTS",0,0
523,"Payments will automatically be processed for the next term at the end of the previous term.",0,0
524,"Grab may review the current list of Authorised Users from time to time via the Portal to maintain and support the Application and Service and ensure compliance with the Terms of Service.",1,1
525,"Accepting these Cookies is a condition of using the Site, so if you block these Cookies, the Site may not work correctly and we may not be able to provide our services and products to you.",0,1
526,"PRIVACY Waze respects your privacy during your use of the Software and the Service.",0,0
527,"All software used in providing or supporting the Site (“Software”) is our property or the property of our software vendors and is protected by United States and international copyright laws.",0,0
528,"ASSIGNMENT",0,0
529,"We or our payment processor are not responsible for any charges or fees imposed by your bank, credit or debit card issuer, or other account provider on payment of the Subscription Fees or any costs that may be incurred as a result of failed attempts to take such payment.",0,1
530,"The Site, Software and Services may include products and services that are available via a mobile device, including (i) the ability to upload content to the Services via a mobile device, (ii) the ability to browse the Services and the Site from a mobile device, and (iii) the ability to access certain features through an application downloaded and installed on a mobile device (collectively, “Mobile Services”).",0,1
531,"SKETCHBOOK CAFE's content is provided primarily for informational purposes, and no content that shall be provided or included in our Services is intended for trading or investing purposes.",0,0
532,"IN SUCH CASES, OUR LIABILITY WILL BE LIMITED TO THE FULLEST EXTENT PERMITTED BY APPLICABLE LAW. NOTHING IN THESE TERMS REMOVES OR SUPERSEDES YOUR RIGHTS AS A CONSUMER BASED ON MANDATORY PROVISIONS OF LAW.",0,0
533,"The Content Provider may include additional terms for use within its Kindle Content.",0,1
534,"If you are reading a translation and it conflicts with the English version, please note that the English version controls.",3,0
535,"7 Our Data Practices",0,0
536,"Eligibility; User Accounts",0,0
537,"ADDITIONAL TERMS AND CHANGES",0,0
538,"NO ADVICE OR INFORMATION, WHETHER ORAL OR WRITTEN, OBTAINED FROM ACADEMIA.EDU OR THROUGH THE SITE, SERVICES OR COLLECTIVE CONTENT, WILL CREATE ANY WARRANTY NOT EXPRESSLY MADE HEREIN.",0,0
539,"Where tariffs include inclusive minutes, which apply to certain types up to a monthly limit, unused inclusive call minutes cannot be carried forward from one month to the next.",0,2
540,"We may terminate this license at any time for any reason.",1,1
541,"Acceptable uses and other restrictions.",0,0
542,"We may, in our sole discretion, disable or terminate the accounts of users whom we believe may be infringing the intellectual property rights of others.",1,1
543,"8 Disclaimer of Warranties.",0,0
544,"For some Payment Methods, the issuer may charge you certain fees, such as foreign transaction fees or other fees relating to the processing of your Payment Method.",1,1
545,"Although the staff of C & G is dedicated to providing high-quality services, C & G, Tasty Alerts, and its licensors make no guarantee of the suitability of the Tasty Alerts for any particular usage.",0,0
546,"When access is granted to an employee AND if the employee is connected to the GfB platform, GrabCar 2-Seater (G! Pass) can be found on the GrabCar booking screen.",0,0
547,"Our responsibility for anything that happens on the Service (also called ""liability"") is limited as much as the law will allow.",0,0
548,"You agree not Attempt to access or search the Site, Services or Collective Content or download Collective Content from the Site or Services through the use of any engine, software, tool, agent, device or mechanism (including spiders, robots, crawlers, data mining tools or the like) other than the software and/or search agents provided by Academia.edu or other generally available third party web browsers.",2,0
549,"You represent and warrant that you had and continue to have all the rights, power and authority necessary to grant the rights granted herein to any Content that you submitted.",3,3
550,"Some of our Performance Cookies are managed for us by third parties.",0,0
551,"Severability; Entire Agreement.",0,0
552,"Activities including solicitation behaviors for multilevel marketing or pyramid selling etc.",2,0
553,"Some of Discord’s services include software subject to separate open source license terms, and your use of those services are subject to your compliance with those license terms, when applicable.",0,0
554,"Under no circumstances will we be liable for any losses, damages, costs, or expenses arising from or in any way connected with any errors, defects, interruptions, malfunctions or delays in Content, or the provision of Content, for which a third party is responsible.",0,0
555,"The Notice to Grammarly should be sent to 548 Market Street, #35410, San Francisco, CA 94104, Attn: Operations Department (“Notice Address”).",0,0
556,"You will not transmit through the website in any way materials containing viruses, files, or programs designed to interrupt, destroy, or restrict the computer's hard / soft operation.",2,2
557,"You can use HackerRank Jobs to browse available software developer jobs posted by top companies in select regions (each a""Company"").",1,0
558,"While photographers and users that upload Content to our Website represent and warrant to us that they have all the rights therein and that the Content does not infringe any third party rights, Pexels cannot reasonable monitor all Content uploaded to the Service.",0,0
559,"No licenses or rights are granted to you by implication or otherwise under any intellectual property rights owned or controlled by Academia.edu or its licensors, except for the licenses and rights expressly granted in these Terms.",0,0
560,"If a magazine or newspaper subscription is terminated before the end of its term, you will receive a prorated refund.",0,0
561,"LIABILITY",0,0
562,"If you use a free my.canva.site URL provided by Canva, your website will include a tool to report Canva Sites that do not comply with these Terms and a badge that states “Designed with Canva” (or similar wording) that links to canva.com.",0,0
563,"By using the Services, you agree that: * You will not use the Services for any purpose that is illegal or prohibited in these Terms.",2,2
564,"You will be solely responsible for any damage to your or others’ device or computer or loss of data that results, directly or indirectly, from the download of any such material.",3,0
565,"WITHOUT LIMITING OUR OTHER REMEDIES, WE MAY LIMIT, SUSPEND, OR TERMINATE THE SERVICE AND USER ACCOUNTS OR PORTIONS THEREOF, PROHIBIT ACCESS TO OUR SERVICES AND SITES, AND THEIR CONTENT, AND TOOLS, DELAY OR REMOVE HOSTED CONTENT, AND TAKE TECHNICAL AND LEGAL STEPS TO PREVENT USERS FROM ACCESSING THE SERVICE IF WE BELIEVE THAT THEY ARE CREATING RISK OR POSSIBLE LEGAL LIABILITIES, INFRINGING THE INTELLECTUAL PROPERTY RIGHTS OF THIRD PARTIES, OR ACTING INCONSISTENTLY WITH THE LETTER OR SPIRIT OF OUR TERMS OR POLICIES.",1,1
566,"Grab uses open source libraries within Grab mobile applications as set out in http://grbto/oss-attributions.",0,0
567,"You promise that you will not: register multiple email addresses to obtain multiple accounts, while being a single user; obtain an account on behalf of a Registered User whose account has been suspended or terminated; discriminate against, harass, bully, intimidate, defame, or damage the reputation and credibility of, other users or third parties; alter and/or erase Materials made available through the Cookpad Service.",2,2
568,"You can also go to your settings at any time to review the privacy choices you have about how we use your data.",1,0
569,"Grab will not be liable to you whether in contract, tort or otherwise for (a) any direct or indirect economic loss economic loss (including loss of profits, savings, goodwill expenditure) or (b) any indirect, consequential, incidental, special, exemplary loss howsoever arising in connection with the provision of GrabGifts provided under these terms.",0,0
570,"Enforcement.",0,0
571,"3.2.",0,0
572,"6 Problems and Disputes Suspending and terminating the Spotify Service These Terms will continue to apply to you until terminated by either you or Spotify.",0,0
573,"You agree you will not, nor will you encourage others or assist others to, harm the Services or use the Services to harm others.",2,2
574,"You ensure that your use of bilibili's services does and at all times will comply with all applicable laws and regulations, including, without limitation, all OFAC-administered sanctions programs and any other sanctions programs.",3,0
575,"We have a few simple rules for Personal Accounts on GitHub's Service.",0,0
576,"In the case of simple negligence, we are liable only for · damage due to injury to life, body or health, and · damage due to serious breach of a fundamental contractual obligation (obligation the performance of which at all enables the due performance of the agreement and on the compliance on which the contractual partner usually relies and is entitled to rely).",3,0
577,"We may also impose limits on the use of or access to the Service, in any event and without notice or liability.",1,1
578,"Users may use other Functions provided by the Company.",1,1
579,"Do not use the name, logo, branding, or trademarks of Airbnb or others without permission.",2,0
580,"You agree that we are not obliged to accept late submission of promotion codes and discounts after the checkout process has been completed.",3,3
581,"Company will resolve any claim, cause of action, or Dispute(s) relating to, arising out of, or in any way in connection with these Business Terms, us, our Business Services, or other products and services we may make available (“Dispute(s)”) exclusively in the United States District Court for the Northern District of California to the extent there is federal jurisdiction, or a state court located in San Mateo County in California.",0,1
582,"We do not guarantee that any EA Service, Content or Entitlement will be available at all times, in all locations, or at any given time or that we will continue to offer a particular EA Service, Content or Entitlements for any particular length of time.",0,0
583,"You must be at least sixteen (16) years of age to use the Service.",3,0
584,"None of the content may be downloaded, copied, reproduced, transmitted, stored, sold or distributed without the prior written consent of the copyright holder.",2,1
585,"“Coins” refers to the prepaid payment instrument or the like which Users may exchange for Contents and services offered by LINE which are provided for a fee within the Services.",0,1
586,"To play our PC games, you may need to install our PC distribution platform software.",3,1
587,"You agree that any payments you make to us in relation to your use of any Licensed Item are final and non-refundable, except where specified by us under this Agreement or for a particular Licensed Item.",3,3
588,"A.  You may terminate the Terms at any time by closing your Account, discontinuing any access to or use of the Service, and providing Yelp with a notice of termination here.",1,1
589,"If You have a dispute with one or more Hackers or if You disagree with the results of a Challenge, Your sole remedy is to cease using HackerRank.",0,0
590,"Nothing in this clause shall limit or exclude any liability for fraudulent misrepresentation.",0,0
591,"Changes to these Business Terms become effective upon the date that we publish such changes, except when our obligations under the Platform Regulation applies to you, we will provide you at least 15 days’ advance notice, subject to the exceptions in the Platform Regulation, and if you have provided us with your valid email address.",0,0
592,"Check with your Payment Method service provider for details.",0,0
593,"You agree to assist Grab with any internal or external investigations as may be required by Grab in complying with any prevailing laws or regulations in place.",3,1
594,"WAZE, INCLUDING ITS OFFICERS, DIRECTORS, SHAREHOLDERS, EMPLOYEES, SUB-CONTRACTORS AND AGENTS WILL NOT BE LIABLE FOR ANY DIRECT, INDIRECT, INCIDENTAL OR CONSEQUENTIAL DAMAGE, OR ANY OTHER DAMAGE, AND LOSS (INCLUDING LOSS OF PROFIT AND LOSS OF DATA), COSTS, EXPENSES AND PAYMENTS, EITHER IN TORT, CONTRACTUAL, OR IN ANY OTHER FORM OF LIABILITY, ARISING FROM, OR IN CONNECTION WITH THE USE OF, OR THE INABILITY TO USE THE SERVICE, OR FROM ANY FAILURE, ERROR, OR BREAKDOWN IN THE FUNCTION OF THE SERVICE, OR FROM ANY FAULT, OR ERROR MADE BY OUR STAFF OR ANYONE ACTING ON ITS BEHALF, OR FROM YOUR RELIANCE ON THE CONTENT OF THE SERVICE, INCLUDING, WITHOUT LIMITATION, CONTENT ORIGINATING FROM THIRD PARTIES, OR FROM ANY COMMUNICATION WITH THE SERVICE, OR WITH OTHER USERS ON OR THROUGH THE SERVICE, OR FROM ANY DENIAL OR CANCELLATION OF YOUR USER ACCOUNT, OR FROM RETENTION, DELETION, DISCLOSURE AND ANY OTHER USE OR LOSS OF YOUR CONTENT ON THE SERVICE.",0,0
595,"McDonald’s reserves all other rights.",0,0
596,"10. JURISDICTION AND GOVERNING LAW",0,0
597,"We are not responsible if any Tokens are used without your permission.",0,0
598,"Also, you should have created a business account and agreed to our Business Terms in the first place.",0,0
599,"Indemnity",0,0
600,"Your purchase will be subject to Google’s plays term of use and privacy policy which you will need to accept before making payment.",3,0
601,"You promise not to create or use bilibili account or set your icon, user profile and other information engaging in any of the following acts: Deliberately and fraudulently using other’s information to create a bilibili account for yourself; Creating a bilibili account in the name of others without the legal authorization of others; Impersonating, stealing or embezzling other’s bilibili account number, etc.; Using words, pictures, icons, etc. that may infringe upon the rights or interests of others (including but not limited to infringement of a third party’s trademark or other similar rights); Using offensive, abusive, defamatory, vulgar, political and other words, pictures, icons, etc. that violate laws, ethics and public order and good customs; Illegally occupying bilibili’s related service resources, maliciously exploit website vulnerabilities through proper or improper means; Other actions that infringe on the legal rights of others or violate applicable laws.",2,1
602,"Communication Preferences.",0,0
603,"DISCLAIMER OF WARRANTIES",0,0
604,"Your legal rights.",0,0
605,"Payment.",0,0
606,"Any reliance on the material on this site is at your own risk.",3,0
607,"We are not liable for any lost or deleted information or data, whether intentional or unintentional nor for the timeliness, deletion, mis-delivery or failure to store any user communications or personalization settings.",0,0
608,"No specified update or refresh date applied in the Service or on any related website, should be taken to indicate that all information in the Service or on any related website has been modified or updated.",2,0
609,"Print orders are subject to additional fees and taxes as specified when you place a print order.",0,0
610,"Your access may be terminated without warning if we believe that You are under the age of 16 or are otherwise ineligible.",0,1
611,"Last Updated: March 14, 2022.",0,0
612,"You are further prohibited from using, diluting or staining any name, mark or logo that is identical, or confusingly similar to any of Moovit marks and logos, whether registered or not.",2,2
