CLASSES,SENTENCES,PROVIDER,VALUE
DUTY,"YOU ACKNOWLEDGE AND AGREE THAT, BY ACCESSING OR USING THE SITE OR SERVICES OR BY DOWNLOADING OR POSTING ANY CONTENT FROM OR ON THE SITE OR THROUGH THE SERVICES, YOU ARE INDICATING THAT YOU HAVE READ, AND THAT YOU UNDERSTAND AND AGREE TO BE BOUND BY, THESE TERMS, WHETHER OR NOT YOU HAVE REGISTERED ON OR THROUGH THE SITE.",AcademiaInc,3
PROHIBITION,"IF YOU DO NOT AGREE TO THESE TERMS, THEN YOU HAVE NO RIGHT TO ACCESS OR USE THE SITE, SERVICES OR COLLECTIVE CONTENT.",AcademiaInc,2
DUTY,"If you accept or agree to these Terms on behalf of a company, university or other legal entity, you represent and warrant that you have the authority to bind that company, university or other legal entity to these Terms and, in such event, “you” and “your” will refer and apply to that company or other legal entity.",AcademiaInc,3
OTHERS,Modification,AcademiaInc,0
PERMISSION,"Academia.edu reserves the right, at its sole discretion, to modify the Site, Services and these Terms, at any time and without prior notice",AcademiaInc,1
OTHERS,If we modify these Terms we will post the modification on the Site or provide you with notice of the modification. We will also update the “Last Updated Date” at the top of these Terms.,AcademiaInc,0
DUTY,"By continuing to access or use the Site or Services after we have posted a modification on the Site or have provided you with notice of a modification, you are indicating that you agree to be bound by the modified Terms.",AcademiaInc,3
OTHERS,"If the modified Terms are not acceptable to you, your only recourse is to cease using the Site and Services.",AcademiaInc,0
OTHERS,Eligibility,AcademiaInc,0
OTHERS,The Site and Services are intended solely for persons who are 13 years of age or older.,AcademiaInc,0
PROHIBITION,Any access to or use of the Site or Services by anyone under the age of 13 is expressly prohibited.,AcademiaInc,2
DUTY,By accessing or using the Site or Services you represent and warrant that you are 13 years of age or older.,AcademiaInc,3
OTHERS,Account Registration,AcademiaInc,0
DUTY,In order to access certain features of the Site and Services and to post any Member Content on the Site or through the Services you must register to create an account (“Account”) and become a Member.,AcademiaInc,3
PERMISSION,"You may register directly via the Site or by logging into your account with certain third party social media or social networking sites (“SNS”) (including, but not limited to, Facebook) via the Site, as described herein.",AcademiaInc,1
OTHERS,"If you decide to register through an SNS, we will extract the personal information you have provided to the SNS (such as your “real” name, email address and other information you make publicly available via the SNS) from the account you have with the applicable SNS and use that information to create your Account.",AcademiaInc,0
OTHERS,The specific information that we extract may depend on the privacy settings you have with the SNS.,AcademiaInc,0
PERMISSION,You hereby consent to our access to and collection of such personal information about you.,AcademiaInc,1
DUTY,"During the registration process, you will be required to provide certain information and you will establish a username and a password.",AcademiaInc,3
DUTY,"You agree to provide accurate, current and complete information during the registration process and to update such information to keep it accurate, current and complete.",AcademiaInc,3
PERMISSION,"Academia.edu reserves the right to suspend or terminate your Account if any information provided during the registration process or thereafter proves to be inaccurate, not current or incomplete.",AcademiaInc,1
DUTY,You are responsible for safeguarding your password.,AcademiaInc,3
PROHIBITION,"You agree that you will not disclose your password to any third party and that you will take sole responsibility for any activities or actions under your Account, whether or not you have authorized such activities or actions.",AcademiaInc,2
DUTY,You will immediately notify Academia.edu of any unauthorized use of your Account.,AcademiaInc,3
OTHERS,Privacy,AcademiaInc,0
OTHERS,See Academia.edu’s Privacy Policy at academia.edu/privacy for information and notices concerning Academia.edu’s collection and use of your personal information.,AcademiaInc,0
OTHERS,Payments,AcademiaInc,0
PERMISSION,Academia.edu may offer you the ability to access certain features through purchase of a recurring subscription (“Subscription”).,AcademiaInc,1
PERMISSION,"When you purchase a Subscription or make any other paid feature related purchase via the Services (each, a “Transaction”), you expressly authorize us (or our third party payment processor, e.g. Stripe) to charge you for such Transaction.",AcademiaInc,1
PERMISSION,"We may ask you to supply additional information relevant to your Transaction, including, without limitation, your credit card number, the expiration date of your credit card, your billing address and additional information to verify your identity before completing your Transaction (such information, “Payment Information”).",AcademiaInc,1
DUTY,You represent and warrant that you have the legal right to use all payment method(s) represented by any such Payment Information.,AcademiaInc,3
PERMISSION,"When you initiate a Transaction, you authorize us to store and continue billing you using your Payment Information and to provide your Payment Information to our third party payment processors as needed to complete your Transactions.",AcademiaInc,1
PERMISSION,We may also periodically authorize your payment method in anticipation of applicable fees or related charges.,AcademiaInc,1
PERMISSION,"Further, as part of our order processing procedures, we may screen orders for fraud or other undesirable activity.",AcademiaInc,1
PERMISSION,"If we feel an order could be fraudulent, unauthorized, or illegal, we reserve the right to refuse to process that order.",AcademiaInc,1
OTHERS,Your Subscription continues until cancelled by you or we terminate your access to or use of the Services or the Subscription in accordance with these Terms.,AcademiaInc,0
OTHERS,"If you elect to purchase an annual or monthly Subscription, you will be charged the annual or monthly Subscription fee (“Subscription Fee”) plus any applicable taxes, at the beginning of your Subscription and each year or month thereafter, respectively, at the then-current rate.",AcademiaInc,0
OTHERS,"If you elect to purchase an annual Subscription, we (or our third party payment processor) will automatically charge you on the anniversary of the commencement of your Subscription using the Payment Information you have provided.",AcademiaInc,0
OTHERS,"If you elect to purchase a monthly Subscription, we (or our third party payment processor) will automatically charge you each month, on the calendar day corresponding to the commencement of your Subscription, using the Payment Information you have provided.",AcademiaInc,0
OTHERS,"In the event your Subscription began on a day not contained in a given month, your payment method will be charged on a day in the applicable month or such other day as we deem appropriate.",AcademiaInc,0
OTHERS,"For example, if you started your Subscription on January 31st, your next payment date is likely to be February 28th, and your payment method would be billed on that date.",AcademiaInc,0
DUTY,"By agreeing to these Terms and electing to purchase a Subscription, you acknowledge that your Subscription has recurring payment features and you accept responsibility for all recurring payment obligations prior to cancellation of your Subscription by you or Academia.edu.",AcademiaInc,3
OTHERS,Free Trials.,AcademiaInc,0
PERMISSION,We may offer Subscriptions on a free trial basis (“Free Trial”) for a specified period of time.,AcademiaInc,1
OTHERS,"If we offer you a Free Trial, the specific terms of your Free Trial will be provided at signup and/or in the promotional materials describing the Free Trial and your use of the Free Trial is subject to your compliance with such specific terms.",AcademiaInc,0
PROHIBITION,Free Trials may not be combined with any other offer.,AcademiaInc,2
OTHERS,"Except as may otherwise be provided in the specific terms for the Free Trial offer, Free Trials are only available to users who have not previously subscribed to the service in connection with which the Free Trial is being offered.",AcademiaInc,0
DUTY,"When you agree to a Free Trial, you are also agreeing to sign up for a Subscription as described above and, consequently, unless you cancel your Subscription prior to the end of your Free Trial, we (or our third party payment processor) will begin charging your payment method on a recurring basis for the Subscription Fee (plus any applicable taxes) until you cancel your Subscription.",AcademiaInc,3
OTHERS,Instructions for cancelling your Subscription are stated below in the “Cancelling Subscriptions” section.,AcademiaInc,0
PERMISSION,"We reserve the right to modify or terminate Free Trials at any time, without notice and in our sole discretion.",AcademiaInc,1
OTHERS,Cancelling Subscriptions,AcademiaInc,0
PERMISSION,You may cancel your Subscription at any time.,AcademiaInc,1
OTHERS,"PLEASE NOTE, HOWEVER, THAT, EXCEPT FOR THE THIRTY (30) DAY PERIOD FOLLOWING THE START OF YOUR SUBSCRIPTION, ALL SALES ARE FINAL.",AcademiaInc,0
OTHERS,AFTER THE FIRST THIRTY (30) DAY PERIOD FOLLOWING THE START OF YOUR SUBSCRIPTION YOU WILL NOT RECEIVE A REFUND OF ANY PORTION OF THE SUBSCRIPTION FEE PAID FOR THE THEN CURRENT SUBSCRIPTION PERIOD AT THE TIME OF CANCELLATION.,AcademiaInc,0
PERMISSION,"To cancel, you can either (i) email us at support@academia.edu and follow instructions, if any, we provide to you in response to your cancellation request, or (ii) initiate a cancellation through your account settings within the Services.",AcademiaInc,1
DUTY,You will be responsible for all Subscription fees incurred for the then current Subscription period.,AcademiaInc,3
PERMISSION,"If you cancel, your cancellation will be effective immediately, but Academia.edu will allow you to access the Subscription features until the most recently paid-up Subscription period ends, and then we will terminate your access.",AcademiaInc,1
OTHERS,Cancelling your Subscription won’t cancel your Account. See the Termination and Account Cancellation section below for information on canceling your Account.,AcademiaInc,0
OTHERS,Please be aware that any fee or subscription plan is exclusive of all taxes.,AcademiaInc,0
OTHERS,"If at any point any applicable sales use, VAT, GST, excise, withholding or similar taxes or levies, whether domestic or foreign, exist, the Member is liable for them.",AcademiaInc,0
PERMISSION,"If we believe, in our sole discretion, that any Member of Academia.edu or Academia Premium or other Academia.edu paid services is in breach of our Terms, or act outside of the letter or spirit of our Terms, we reserve the right to add limitations to your access to www.academia.edu, up to and including terminating all access to www.academia.edu.",AcademiaInc,1
OTHERS,"In this case, the Member in question is not eligible for any refunds on any portion of their subscription payment.",AcademiaInc,0
OTHERS,Ownership,AcademiaInc,0
OTHERS,"The Site, Services and Collective Content are protected by copyright, trademark, and other laws of the United States and foreign countries.",AcademiaInc,0
DUTY,"You acknowledge and agree that the Site, Services and Collective Content, including all associated intellectual property rights, are the exclusive property of Academia.edu and its licensors.",AcademiaInc,3
PROHIBITION,"You will not remove, alter or obscure any copyright, trademark, service mark or other proprietary rights notices incorporated in or accompanying the Site, Services or Collective Content.",AcademiaInc,2
OTHERS,Licenses Granted by Academia.edu to Academia.edu Content and Member Content,AcademiaInc,0
PERMISSION,"Subject to your compliance with the terms and conditions of these Terms, Academia.edu authorizes you to download, view and print any Academia.edu Content, and to access and use the Site and Services, including to download, view and print any Member Content in accordance with the functionality of the Services, and subject to the restrictions set forth in these Terms.",AcademiaInc,1
PROHIBITION,You have no right to sublicense the license rights granted in this section.,AcademiaInc,2
PROHIBITION,"You will not use, copy, adapt, modify, prepare derivative works based upon, distribute, license, sell, transfer, publicly display, publicly perform, transmit, stream, broadcast or otherwise exploit the Site, Services or Collective Content, or any related information to which you may have access; except as expressly permitted in these Terms",AcademiaInc,2
OTHERS,"No licenses or rights are granted to you by implication or otherwise under any intellectual property rights owned or controlled by Academia.edu or its licensors, except for the licenses and rights expressly granted in these Terms.",AcademiaInc,0
OTHERS,License granted by Member,AcademiaInc,0
PERMISSION,"We may, in our sole discretion, permit Members to post, upload, publish, submit or transmit Member Content. By making any Member Content available through the Site or Services, you hereby grant to Academia.edu a worldwide, revocable, non-exclusive, transferable license to exercise any and all rights under copyright, in any medium, and to authorize others to do the same, in connection with operating and providing the Services and Content to you and to other Members, provided that the Member Content is not sold for a profit.",AcademiaInc,1
OTHERS,Academia.edu does not claim any ownership rights in any Member Content and nothing in these Terms will be deemed to restrict any rights that you may have to use and exploit any Member Content.,AcademiaInc,0
DUTY,You acknowledge and agree that you are solely responsible for all Member Content that you make available through the Site or Services.,AcademiaInc,3
DUTY,"Accordingly, you represent and warrant that: (i) you either are the sole and exclusive owner of all Member Content that you make available through the Site or Services or you have all rights, licenses, consents and releases that are necessary to grant to Academia.edu the rights in such Member Content, as contemplated under these Terms; and (ii) neither the Member Content nor your posting, uploading, publication, submission or transmittal of the Member Content or Academia.edu’s use of the Member Content (or any portion thereof) on, through or by means of the Site or Services will infringe, misappropriate or violate a third party’s patent, copyright, trademark, trade secret, moral rights or other intellectual property rights, or rights of publicity or privacy, or result in the violation of any applicable law or regulation.",AcademiaInc,3
PERMISSION,"As part of the functionality of the Site and Services, you may link your Account with online accounts you may have with third party service providers (each such account, a “Third Party Account”) by either: (i) providing your Third Party Account login information to Academia.edu through the Site or Services; or (ii) allowing Academia.edu to access your Third Party Account, as is permitted under the applicable terms and conditions that govern your use of each Third Party Account.",AcademiaInc,1
DUTY,"You represent that you are entitled to disclose your Third Party Account login information to Academia.edu and/or to grant Academia.edu access to your Third Party Account (including, but not limited to, for use for the purposes described herein), without breach by you of any of the terms and conditions that govern your use of the applicable Third Party Account and without obligating Academia.edu to pay any fees or making Academia.edu subject to any usage limitations imposed by such third party service providers.",AcademiaInc,3
DUTY,"By granting Academia.edu access to any Third Party Accounts, you understand that Academia.edu will access, make available and store (if applicable) any Content that you have provided to and stored in your Third Party Account (“Third Party Account Content”) so that it is available on and through the Site and Services via your Account.",AcademiaInc,3
OTHERS,"Unless otherwise specified in these Terms, all Third Party Account Content, if any, will be considered to be Member Content for all purposes of these Terms.",AcademiaInc,0
OTHERS,"Depending on the Third Party Accounts you choose and subject to the privacy settings that you have set in such Third Party Accounts, personally identifiable information that you post to your Third Party Accounts will be available on and through your Account on the Site and Services.",AcademiaInc,0
OTHERS,"Please note that if a Third Party Account or associated service becomes unavailable or Academia.edu’s access to such Third Party Account is terminated by the third party service provider, then the Third Party Account Content that was available from such Third Party Account will no longer be available on and through the Site and Services.",AcademiaInc,0
PERMISSION,"You have the ability to disable the connection between your Account and your Third Party Accounts, at any time, by accessing your Account Settings page.",AcademiaInc,1
OTHERS,PLEASE NOTE THAT YOUR RELATIONSHIP WITH THE THIRD PARTY SERVICE PROVIDERS ASSOCIATED WTH YOUR THIRD PARTY ACCOUNTS IS GOVERNED SOLELY BY YOUR AGREEMENT(S) WITH SUCH THIRD PARTY SERVICE PROVIDERS.,AcademiaInc,0
OTHERS,"Academia.edu makes no effort to review any Third Party Account Content for any purpose, including but not limited to, for accuracy, legality or non-infringement and Academia.edu is not responsible for any Third Party Account Content.",AcademiaInc,0
OTHERS,Feedback,AcademiaInc,0
OTHERS,"We welcome and encourage you to provide feedback, comments and suggestions for improvements to the Site or Services (“Feedback”).",AcademiaInc,0
PERMISSION,You may submit Feedback by emailing us at feedback@academia.edu or through the “Ideas” section of the Site.,AcademiaInc,1
PERMISSION,"You acknowledge and agree that if you submit any Feedback to us, you hereby grant to us a non-exclusive, worldwide, perpetual, irrevocable, fully-paid, royalty-free, sub-licensable and transferable license under any and all intellectual property rights that you own or control to use, copy, modify, create derivative works based upon and otherwise exploit the Feedback for any purpose.",AcademiaInc,1
OTHERS,General Prohibitions,AcademiaInc,0
PROHIBITION,"You agree not to do any of the following: Post, upload, publish, submit or transmit any Content that: (i) infringes, misappropriates or violates a third party’s patent, copyright, trademark, trade secret, moral rights or other intellectual property rights, or rights of publicity or privacy; (ii) violates, or encourages any conduct that would violate, any applicable law or regulation or would give rise to civil liability; (iii) is fraudulent, knowingly false, misleading or deceptive; (iv) is defamatory, obscene, pornographic, vulgar or offensive; (v) promotes discrimination, bigotry, racism, hatred, harassment or harm against any individual or group; (vi) is violent or threatening or promotes violence or actions that are threatening to any person or entity; or (vii) promotes illegal or harmful activities or substances; Disclose information that you do not have the right to disclose (such as confidential information of others (including your employer); Use, display, mirror or frame the Site, or any individual element within the Site or Services, Academia.edu’s name, any Academia.edu trademark, logo or other proprietary information, or the layout and design of any page or form contained on a page, without Academia.edu’s express written consent; Access, tamper with, or use non-public areas of the Site, Academia.edu’s computer systems, or the technical delivery systems of Academia.edu’s providers; Attempt to probe, scan, or test the vulnerability of any Academia.edu system or network or breach any security or authentication measures; Avoid, bypass, remove, deactivate, impair, descramble or otherwise circumvent any technological measure implemented by Academia.edu or any of Academia.edu’s providers or any other third party (including another user) to protect the Site, Services or Collective Content.",AcademiaInc,2
PROHIBITION,"You agree not to do any of the following: Scrape or copy profiles and information of others through any means (including crawlers, browser plugins and add-ons, and any other technology or manual work); Sell, sponsor, or otherwise monetize any feature of the Services, without Academia.edu's consent.",AcademiaInc,2
PROHIBITION,"You agree not Attempt to access or search the Site, Services or Collective Content or download Collective Content from the Site or Services through the use of any engine, software, tool, agent, device or mechanism (including spiders, robots, crawlers, data mining tools or the like) other than the software and/or search agents provided by Academia.edu or other generally available third party web browsers.",AcademiaInc,2
PROHIBITION,"You agree not Use bots or other automated methods to access the Services, add or download contacts or profile information.",AcademiaInc,2
PROHIBITION,"You agree not Send any unsolicited or unauthorized advertising, promotional materials, email, junk mail, spam, chain letters or other form of solicitation.",AcademiaInc,2
PROHIBITION,"You agree not Use any meta tags or other hidden text or metadata utilizing a Academia.edu trademark, logo URL or product name without Academia.edu’s express written consent.",AcademiaInc,2
PROHIBITION,"You agree not Use the Site, Services or Collective Content for any commercial purpose or the benefit of any third party or in any manner not permitted by these Terms.",AcademiaInc,2
PROHIBITION,"You agree not Forge any TCP/IP packet header or any part of the header information in any email or newsgroup posting, or in any way use the Site, Services or Collective Content to send altered, deceptive or false source-identifying information.",AcademiaInc,2
PROHIBITION,"You agree not Attempt to decipher, decompile, disassemble or reverse engineer any of the software used to provide the Site, Services or Collective Content.",AcademiaInc,2
PROHIBITION,"You agree not Interfere with, or attempt to interfere with, the access of any user, host or network, including, without limitation, sending a virus, overloading, flooding, spamming, or mail-bombing the Site or Services.",AcademiaInc,2
PROHIBITION,You agree not Collect or store any personally identifiable information from the Site or Services from other users of the Site or Services without their express permission.,AcademiaInc,2
PROHIBITION,You agree not impersonate or misrepresent your affiliation with any person or entity; Violate any applicable law or regulation; or Encourage or enable any other individual to do any of the foregoing.,AcademiaInc,2
PERMISSION,Academia.edu will have the right to investigate and prosecute violations of any of the above to the fullest extent of the law.,AcademiaInc,1
PERMISSION,Academia.edu may involve and cooperate with law enforcement authorities in prosecuting users who violate these Terms.,AcademiaInc,1
DUTY,"You acknowledge that Academia.edu has no obligation to monitor your access to or use of the Site, Services or Collective Content or to review or edit any Collective Content, but has the right to do so for the purpose of operating the Site and Services, to ensure your compliance with these Terms, or to comply with applicable law or the order or requirement of a court, administrative agency or other governmental body.",AcademiaInc,3
PERMISSION,"Academia.edu reserves the right, at any time and without prior notice, to remove or disable access to any Collective Content, including, but not limited to, Collective Content that Academia.edu, at its sole discretion, considers to be in violation of these Terms or otherwise harmful to the Site or Services.",AcademiaInc,1
OTHERS,Copyright Policy,AcademiaInc,0
DUTY,Academia.edu respects copyright law and expects its users to do the same.,AcademiaInc,3
OTHERS,"It is Academia.edu’s policy to terminate, in appropriate circumstances, Members or other account holders who repeatedly infringe or are believed to be repeatedly infringing the rights of copyright holders.",AcademiaInc,0
OTHERS,"Please see Academia.edu’s Copyright Policy at academia.edu/copyright, for further information.",AcademiaInc,0
OTHERS,Links,AcademiaInc,0
OTHERS,The Site or Services may contain links to third-party websites or resources.,AcademiaInc,0
DUTY,"You acknowledge and agree that Academia.edu is not responsible or liable for: (i) the availability or accuracy of such websites or resources; or (ii) the content, products, or services on or available from such websites or resources.",AcademiaInc,3
OTHERS,"Links to such websites or resources do not imply any endorsement by Academia.edu of such websites or resources or the content, products, or services available from such websites or resources.",AcademiaInc,0
DUTY,"You acknowledge sole responsibility for and assume all risk arising from your use of any such websites or resources or the content, products, or services on or available from such websites or resources.",AcademiaInc,3
OTHERS,Termination and Account Cancellation,AcademiaInc,0
PERMISSION,"Academia.edu reserves the right, at its sole discretion, to discontinue or terminate the Site and Services and to terminate these Terms, at any time and without prior notice.",AcademiaInc,1
PERMISSION,"If you breach any of these Terms, Academia.edu will have the right to suspend or disable your Account or terminate these Terms, at its sole discretion and without prior notice to you.",AcademiaInc,1
PERMISSION,"Academia.edu reserves the right to revoke your access to and use of the Site, Services and Collective Content at any time, with or without cause.",AcademiaInc,1
PERMISSION,You may cancel your Account at any time by visiting your Account Settings page and clicking on “Remove” or by sending an email to feedback@academia.edu.,AcademiaInc,1
OTHERS,Disclaimers,AcademiaInc,0
OTHERS,"THE SITE, SERVICES AND COLLECTIVE CONTENT ARE PROVIDED “AS IS”, WITHOUT WARRANTY OF ANY KIND, EITHER EXPRESS OR IMPLIED. WITHOUT LIMITING THE FOREGOING, ACADEMIA.EDU EXPLICITLY DISCLAIMS ANY WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, QUIET ENJOYMENT OR NON-INFRINGEMENT, AND ANY WARRANTIES ARISING OUT OF COURSE OF DEALING OR USAGE OF TRADE.",AcademiaInc,0
OTHERS,"ACADEMIA.EDU MAKES NO WARRANTY THAT THE SITE, SERVICES OR COLLECTIVE CONTENT WILL MEET YOUR REQUIREMENTS OR BE AVAILABLE ON AN UNINTERRUPTED, SECURE, OR ERROR-FREE BASIS. ACADEMIA.EDU MAKES NO WARRANTY REGARDING THE QUALITY OF ANY PRODUCTS, SERVICES OR COLLECTIVE CONTENT PURCHASED OR OBTAINED THROUGH THE SITE OR SERVICES OR THE ACCURACY, TIMELINESS, TRUTHFULNESS, COMPLETENESS OR RELIABILITY OF ANY CONTENT OBTAINED THROUGH THE SITE OR SERVICES.",AcademiaInc,0
OTHERS,"NO ADVICE OR INFORMATION, WHETHER ORAL OR WRITTEN, OBTAINED FROM ACADEMIA.EDU OR THROUGH THE SITE, SERVICES OR COLLECTIVE CONTENT, WILL CREATE ANY WARRANTY NOT EXPRESSLY MADE HEREIN.",AcademiaInc,0
DUTY,YOU ARE SOLELY RESPONSIBLE FOR ALL OF YOUR COMMUNICATIONS AND INTERACTIONS WITH OTHER USERS OF THE SITE AND SERVICES AND WITH OTHER PERSONS WITH WHOM YOU COMMUNICATE OR INTERACT AS A RESULT OF YOUR USE OF THE SITE OR SERVICES.,AcademiaInc,3
DUTY,"YOU UNDERSTAND THAT ACADEMIA.EDU DOES NOT SCREEN OR INQUIRE INTO THE BACKGROUND OF ANY USERS OF THE SITE OR SERVICES, NOR DOES ACADEMIA.EDU MAKE ANY ATTEMPT TO VERIFY THE STATEMENTS OF USERS OF THE SITE OR SERVICES.",AcademiaInc,3
OTHERS,ACADEMIA.EDU MAKES NO REPRESENTATIONS OR WARRANTIES AS TO THE CONDUCT OF USERS OF THE SITE OR SERVICES OR THEIR COMPATIBILITY WITH ANY CURRENT OR FUTURE USERS OF THE SITE OR SERVICES.,AcademiaInc,0
DUTY,"YOU AGREE TO TAKE REASONABLE PRECAUTIONS IN ALL COMMUNICATIONS AND INTERACTIONS WITH OTHER USERS OF THE SITE AND SERVICES AND WITH OTHER PERSONS WITH WHOM YOU COMMUNICATE OR INTERACT AS A RESULT OF YOUR USE OF THE SITE OR SERVICES, PARTICULARLY IF YOU DECIDE TO MEET OFFLINE OR IN PERSON.",AcademiaInc,3
OTHERS,Indemnity,AcademiaInc,0
DUTY,"You agree to defend, indemnify, and hold Academia.edu, its officers, directors, employees and agents, harmless from and against any claims, liabilities, damages, losses, and expenses, including, without limitation, reasonable legal and accounting fees, arising out of or in any way connected with your access to or use of the Site, Services or Collective Content, or your violation of these Terms.",AcademiaInc,3
OTHERS,Limitation of Liability,AcademiaInc,0
DUTY,"YOU ACKNOWLEDGE AND AGREE THAT, TO THE MAXIMUM EXTENT PERMITTED BY LAW, THE ENTIRE RISK ARISING OUT OF YOUR ACCESS TO AND USE OF THE SITE, SERVICES AND COLLECTIVE CONTENT REMAINS WITH YOU.",AcademiaInc,3
OTHERS,"NEITHER ACADEMIA.EDU NOR ANY OTHER PERSON OR ENTITY INVOLVED IN CREATING, PRODUCING, OR DELIVERING THE SITE, SERVICES OR COLLECTIVE CONTENT WILL BE LIABLE FOR ANY INCIDENTAL, SPECIAL, EXEMPLARY OR CONSEQUENTIAL DAMAGES, OR LOST PROFITS, LOSS OF DATA OR LOSS OF GOODWILL, SERVICE INTERRUPTION, COMPUTER DAMAGE OR SYSTEM FAILURE OR THE COST OF SUBSTITUTE PRODUCTS OR SERVICES, OR FOR ANY DAMAGES FOR PERSONAL OR BODILY INJURY OR EMOTIONAL DISTRESS ARISING OUT OF OR IN CONNECTION WITH THESE TERMS OR FROM THE USE OF OR INABILITY TO USE THE SITE, SERVICES OR COLLECTIVE CONTENT, OR FROM ANY COMMUNICATIONS, INTERACTIONS OR MEETINGS WITH OTHER USERS OF THE SITE OR SERVICES OR OTHER PERSONS WITH WHOM YOU COMMUNICATE OR INTERACT AS A RESULT OF YOUR USE OF THE SITE OR SERVICES, WHETHER BASED ON WARRANTY, CONTRACT, TORT (INCLUDING NEGLIGENCE), PRODUCT LIABILITY OR ANY OTHER LEGAL THEORY, WHETHER OR NOT ACADEMIA.EDU HAS BEEN INFORMED OF THE POSSIBILITY OF SUCH DAMAGE, AND WHETHER OR NOT FORESEEABLE, EVEN IF A LIMITED REMEDY SET FORTH HEREIN IS FOUND TO HAVE FAILED OF ITS ESSENTIAL PURPOSE.",AcademiaInc,0
OTHERS,"IN NO EVENT WILL ACADEMIA.EDU’S AGGREGATE LIABILITY ARISING OUT OF OR IN CONNECTION WITH THESE TERMS OR FROM THE USE OF OR INABILITY TO USE THE SITE, SERVICES OR COLLECTIVE CONTENT EXCEED THE GREATER OF FIFTY DOLLARS ($50) AND SUBSCRIPTION FEES PAID BY YOU DURING THE 12 MONTH PERIOD BEFORE THE ACT GIVING RISE TO THE LIABILITY.",AcademiaInc,0
OTHERS,THE LIMITATIONS OF DAMAGES SET FORTH ABOVE ARE FUNDAMENTAL ELEMENTS OF THE BASIS OF THE BARGAIN BETWEEN ACADEMIA.EDU AND YOU.,AcademiaInc,0
OTHERS,"SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OR LIMITATION OF LIABILITY FOR CONSEQUENTIAL OR INCIDENTAL DAMAGES, SO THE ABOVE LIMITATION MAY NOT APPLY TO YOU.",AcademiaInc,0
OTHERS,Proprietary Rights Notices,AcademiaInc,0
OTHERS,"All trademarks, service marks, logos, trade names and any other proprietary designations of Academia.edu used herein are trademarks or registered trademarks of Academia.edu.",AcademiaInc,0
OTHERS,"Any other trademarks, service marks, logos, trade names and any other proprietary designations are the trademarks or registered trademarks of their respective parties.",AcademiaInc,0
OTHERS,Controlling Law,AcademiaInc,0
OTHERS,These Terms and any action related thereto will be governed by the laws of the State of California without regard to its conflict of laws provisions.,AcademiaInc,0
OTHERS,Entire Agreement,AcademiaInc,0
OTHERS,"These Terms constitute the entire and exclusive understanding and agreement between Academia.edu and you regarding the Site, Services and Collective Content, and these Terms supersede and replace any and all prior oral or written understandings or agreements between Academia.edu and you regarding the Site, Services and Collective Content.",AcademiaInc,0
OTHERS,Assignment,AcademiaInc,0
PROHIBITION,"You may not assign or transfer these Terms, by operation of law or otherwise, without Academia.edu’s prior written consent.",AcademiaInc,2
OTHERS,"Any attempt by you to assign or transfer these Terms, without such consent, will be null and of no effect.",AcademiaInc,0
PERMISSION,"Academia.edu may assign or transfer these Terms, at its sole discretion, without restriction.",AcademiaInc,1
OTHERS,"Subject to the foregoing, these Terms will bind and inure to the benefit of the parties, their successors and permitted assigns.",AcademiaInc,0
OTHERS,Notices,AcademiaInc,0
OTHERS,"Any notices or other communications permitted or required hereunder, including those regarding modifications to these Terms, will be in writing and given by Academia.edu (i) via email (in each case to the address that you provide); or (ii) by posting to the Site.",AcademiaInc,0
OTHERS,"For notices made by e-mail, the date of receipt will be deemed the date on which such notice is transmitted.",AcademiaInc,0
OTHERS,Dispute Resolution,AcademiaInc,0
DUTY,"You and Academia.edu agree that any dispute, claim or controversy arising out of or relating to these Terms or the breach, termination, enforcement, interpretation or validity thereof or the use of the Site or Services (collectively, “Disputes”) will be settled by binding arbitration, except that each party retains the right: (i) to bring an individual action in small claims court and (ii) to seek injunctive or other equitable relief in a court of competent jurisdiction to prevent the actual or threatened infringement, misappropriation or violation of a party’s copyrights, trademarks, trade secrets, patents or other intellectual property rights (the action described in the foregoing clause (ii), an “IP Protection Action”).",AcademiaInc,3
OTHERS,(The actions described in clauses (i) and (ii) are the “Litigable Actions.”).,AcademiaInc,0
PERMISSION,"Without limiting the preceding sentence, you will also have the right to litigate any Dispute other than a Litigable Action, if you provide Academia.edu with written notice of your desire to do so by email or regular mail at 580 California St, Suite 400, San Francisco, CA, 94104 within thirty (30) days following the date you first agree to these Terms (such notice, an “Arbitration Opt-out Notice”).",AcademiaInc,1
OTHERS,"If you don’t provide Academia.edu with an Arbitration Opt-out Notice within the thirty (30) day period, you will be deemed to have knowingly and intentionally waived your right to litigate any Dispute except for Litigable Actions.",AcademiaInc,0
OTHERS,"The exclusive jurisdiction and venue of any IP Protection Action or, if you timely provide Academia.edu with an Arbitration Opt-out Notice, any Dispute other than an individual action brought in small claims court, will be the state and federal courts located in the Northern District of California and each of the parties hereto waives any objection to jurisdiction and venue in such courts.",AcademiaInc,0
DUTY,"Unless you timely provide CIR with an Arbitration Opt-out Notice, you acknowledge and agree that you and Academia.edu are each waiving the right to a trial by jury or to participate as a plaintiff or class member in any purported class action or representative proceeding.",AcademiaInc,3
